Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Làng tre Phú An,"Khu bảo tồn tre tự nhiên lớn nhất tại Việt Nam. Làng tre Phú An thu hút du khách bởi rừng tre xanh mướt, suối êm đềm và không gian như thiên đường. Du khách có thể tham gia các hoạt động như đi dạo, câu cá và cắm trại,... ",Bình Dương,"Làng nghề truyền thống, Điểm ngắm cảnh tự nhiên, Khu bảo tồn",https://maps.app.goo.gl/ahuPBtQkVda1SnCm7,1c_R7ZQNXAQbH1r00prO1avs03yf8A5On
Suối Trúc Bình Dương,"Con suối này là một điểm đến đặc biệt với vị trí địa lý độc đáo - tiếp giáp với 3 tỉnh Bình Dương, Tây Ninh và Bình Phước. Hai bên đường dẫn vào suối Trúc là những hàng trúc xanh rì, rợp bóng. Cùng với đó là tiếng suối chảy tí tách, rì rào, dịu nhẹ và cực chill.",Bình Dương,"Thiên nhiên, Suối, Đi bộ đường dài, Picnic",https://maps.app.goo.gl/tP1SWN8ChSAeRsTDA,1S6p4AsjyKOTdTukl08mU6nFzuX1lsKaX
Khu du lịch Đại Nam,"Khu du lịch Đại Nam là một trong những điểm đến tuyệt vời không nên bỏ lỡ khi nhắc đến Bình Dương. Đây là một điểm đến với sự kết hợp đặc sắc, pha lẫn giữa hiện đại và kiến trúc cổ điển. Với tổng diện tích lên tới 711 ha, nơi đây có nhiều khu vui chơi, giải trí gồm có biển nhân tạo, hồ, sông, núi và các đền thờ, khu đua xe, bách thú,...",Bình Dương,"Danh lam thắng cảnh, Khu vui chơi, Công trình kiến trúc, Đền, Chùa, Vườn thú",https://maps.app.goo.gl/S6X4H1eE8MRaLfHm9,1YLE3C5c3xChqJyiQQUNHxnlR8Ejs1Ddx
Nhà thờ chánh tòa Phú Cường,"Đây là một điểm đến linh thiêng của người Công Giáo với những nét riêng trong kiến trúc. Nhà thờ được xây dựng từ năm 1864 bằng gạch với kiến trúc kiểu Gothic độc đáo. Nhà thờ tọa lạc ở vị trí đặc biệt, tại ngã 6 trung tâm Phú Cường với khuôn viên đẹp, thoáng đãng và mang đậm chất Phương Tây.",Bình Dương,"Nhà thờ, Công trình kiến trúc",https://maps.app.goo.gl/8xEA1mAUPwMkRYYz6,1gKJPKx3g0V0k49iR2cx9ckaFn9WY7DVI
Chùa Hội Khánh,"Nơi đây có bức tượng được tổ chức Kỷ lục Châu Á công nhận là tượng Phật nằm dài nhất châu Á. Có niên đại từ những năm 1741, chùa Hội Khánh vừa là chứng nhân lịch sử, vừa là nơi lưu giữ nhiều bảo vật quý hiếm và kiến trúc cổ xưa tuyệt đẹp của nước nhà.",Bình Dương,"Chùa, Di tích lịch sử",https://maps.app.goo.gl/PGxot3vcqgFoPS8m7,1Rzrq63e3ay3w0ys-vymHEoqxdL4q6qDt
Chùa Tây Tạng,"chùa Tây Tạng nổi tiếng với tượng Đạt Ma Sư Tổ được tết từ tóc. Pho tượng lớn nhất Việt Nam, làm trên nóc. Chùa có không gian linh thiêng, cùng kiến trúc độc đáo",Bình Dương,"Chùa, Công trình kiến trúc",https://maps.app.goo.gl/PMHANxKtfiEmXQDa6,1PmfZEGFD7rmiosGeRuYo0tBmi4TzcWO5
Chùa Thái Sơn núi Cậu,"Chùa Thái Sơn núi Cậu có diện tích hơn 1600ha với 21 ngọn núi, thu hút khách du lịch vào các dịp lễ lớn như: ngày lễ “Mẹ” vào mùng 13, 14 và ngày rằm tháng 8 âm lịch, ngày rằm tháng Giêng, Lễ Phật Đản,...",Bình Dương,"Chùa, Núi, Đi bộ đường dài",https://maps.app.goo.gl/bPDh88ofnG5rnXW96,1hytMganfEd1X7hqFvx3hajwDLCKeiVQY
Hồ Dầu Tiếng,"Đây là hồ nước nhân tạo lớn nhất Việt Nam, với diện tích mặt hồ lên đến 27km2. Hồ Dầu Tiếng tọa lạc tại nơi giáp giữa 3 tỉnh Bình Dương, Bình Phước và Tây Ninh. Đến nơi đây, du khách có thể trải nghiệm dịch vụ chèo sup, câu cá, BBQ,...",Bình Dương,"Thiên nhiên, Hồ, Picnic, Cắm trại",https://maps.app.goo.gl/MXBP2ZwmLWQyXbmu7,1quPBMnLO7U_O6BsbmfIsezHkc_GkRIdy
Di tích nhà tù Phú Lợi,"Di tích nhà tù Phú Lợi được xếp hạng là Di tích lịch sử cách mạng cấp quốc gia từ ngày 10/07/1980. Đây là một điểm đến mang dấu tích lịch sử hào hùng, là nơi lưu giữ và truyền bá văn hóa yêu nước, tinh thần dân tộc bất khuất của người Việt",Bình Dương,"Di tích lịch sử, Đài tưởng niệm",https://maps.app.goo.gl/LHF4nb6tFQp38Tze8,1klBXvlD-wTKYoVD1Qwwo0OGUb54IT-UP
Sân golf Sông Bé,"Ưu thế của sân Sông Bé là có hệ thống 27 lỗ và 9 lỗ, thích hợp cho nhiều trình độ chơi golf khác nhau.",Bình Dương,"Khu vui chơi, Đi xe đạp tham quan",https://maps.app.goo.gl/2xd4yif5veMUDc3eA,1H7WzQTaY5i_CIA40AVesmGcvrx3Z2_Nq
Phố đêm Bạch Đằng,"Phố đêm Bạch Đằng hay còn gọi là bến Bạch Đằng tọa lạc tại xã Phú Cường, TP. Thủ Dầu Một. Đây là một điểm đến, nơi vui chơi, giải trí cũng như thưởng thức ẩm thực về đêm được các bạn trẻ yêu thích.",Bình Dương,"Phố đi bộ, Chợ đêm, Ẩm thực, Quán cà phê",https://maps.app.goo.gl/pKfnBpbSGUuo9iCP9,1cB5RCDJ-wVGms9yGoECRn_QSpYBkTUjp
Khu du lịch sinh thái Thác Giang Điền,"Thác Giang Điền với quang cảnh thiên nhiên xanh mát thích hợp cho các buổi dã ngoại cuối tuần. Dòng thác thấp, mực nước chân thác không chảy xiết thích hợp cho các hoạt động bơi, tắm, chèo thuyền. Tuy nhiên, du khách cần có sự hướng dẫn của nhân viên để đảm bảo an toàn",Đồng Nai,"Thiên nhiên, Thác, Cắm trại, Picnic",https://maps.app.goo.gl/ko3bgUM8P8eZ5DWL6,1oQag-xAMQ9t6k10I-wTOF4q1_bEsGbus
Khu du lịch Bò Cạp Vàng,"Nằm ở Ấp 3, xã Phước Khánh, huyện Nhơn Trạch, khu du lịch được bao bọc bởi sông nước và vườn trái cây tạo nên bầu không khí trong lành, thích hợp tổ chức du lịch dã ngoại cho gia đình vào dịp cuối tuần.",Đồng Nai,"Thiên nhiên, Sông, Chèo thuyền, Picnic, Cắm trại",https://maps.app.goo.gl/84h8jZKEvcBEYGAh8,1p5ybFdig8EgBUdiuYI0wChPbnbR3IjbT
Văn miếu Trấn Biên,"Văn miếu nằm ở phường Bửu Long, TP Biên Hòa, được chúa Nguyễn Phúc Chu cho xây dựng vào năm 1715 nhằm giữ văn hóa, truyền thống trọng học của người Việt. Năm 1861, thực dân Pháp đánh chiếm Biên Hòa và đã phá bỏ công trình này. Đến năm 1998, nhân dịp kỷ niệm kỷ 300 năm thành lập và phát triển vùng đất Biên Hòa - Đồng Nai, Văn miếu được phục dựng tại vị trí cũ.",Đồng Nai,"Di tích lịch sử, Công trình kiến trúc, Đài tưởng niệm",https://maps.app.goo.gl/ZHGxeK4BZdHvwZpn6,19HoU6a3hEU45n-cbB5b0NkPsGT-PmCO_
Vườn quốc gia Cát Tiên ,"Vườn quốc gia Cát Tiên có tổng diện tích hơn 70.000 ha, là khu bảo tồn thiên nhiên nằm trên địa bàn năm huyện Tân Phú và Vĩnh Cửu (Đồng Nai), Cát Tiên và Bảo Lâm (Lâm Đồng), Bù Đăng (Bình Phước). Là rừng đất thấp ẩm ướt nhiệt đới, Cát Tiên được UNESCO công nhận là ""Khu dự trữ sinh quyển thế giới"" với hàng trăm loài động vật quý hiếm ghi tên vào Sách Đỏ Việt Nam.",Đồng Nai,"Vườn quốc gia, Khu bảo tồn, Thiên nhiên, Đi bộ đường dài",https://maps.app.goo.gl/NDniCHVckhDa8PCR6,1TftwTHEOFv_dW_VwO59Vv4ye9rpPcLx0
Hồ Trị An,"Hồ Trị An rộng 32.000 ha nằm giữa các huyện Định Quán, Thống Nhất, Trảng Bom và Vĩnh Cửu. Vào mùa khô, lòng hồ cạn nước, cỏ lên xanh tạo thành thảo nguyên rộng lớn, là điểm thư giãn của nhiều du khách tới Đồng Nai.",Đồng Nai,"Thiên nhiên, Hồ, Cắm trại, Chèo thuyền, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/aQY4NbbskANzX3JN8,11xU4HcTiRVaFaHEM9dNTVhoUkuTYUHTD
Khu du lịch Vườn Xoài,"Nằm ở ấp Tân Cang, xã Phước Tân, TP Biên Hoà, khu du lịch sinh thái Vườn Xoài được nhiều du khách biết đến. Với diện tích trên 50 ha, nơi đây sở hữu nhiều cảnh quan đa dạng với rừng cây, hồ nước, vườn trái cây và vườn bách thú.",Đồng Nai,"Khu vui chơi, Thiên nhiên, Công viên",https://maps.app.goo.gl/7QrxKk8WgdNGZUAM7,1IGtYvxIN_r8Tc9c7uWnpWfTzER6hSecJ
Khu du lịch Đảo Ó,"Khu du lịch Đảo Ó là một vùng đất hoang sơ, chưa có nhiều công trình hay khu vui chơi hiện đại cho du khách. Tuy nhiên, sự thiếu vắng cơ sở hạ tầng du lịch lại tạo nên một không gian tự nhiên, trong lành, cho phép du khách khám phá hệ sinh thái động thực vật đa dạng của đảo. Với vẻ đẹp thiên nhiên tuyệt vời và hàng trăm loài hoa đua nhau khoe sắc, Đảo Ó chắc chắn sẽ làm bất kỳ ai đến đây đều phải ngỡ ngàng và mê mẩn.",Đồng Nai,"Khu vui chơi, Công viên nước, Công trình kiến trúc",https://maps.app.goo.gl/DTd9w8gZx3nmwUm77,1ezHf1AMrdmsrmuWj7wmGnLTRGdjqr4Qr
Núi Chứa Chan,"Núi Chứa Chan còn gọi là núi Gia Ray hoặc Gia Lào nằm ở huyện Xuân Lộc, cách TP Biên Hòa hơn 80 km. Đây là ngọn núi cao nhất ở Đồng Nai (837 m), thứ hai ở Đông Nam Bộ, sau núi Bà Đen (986 m, Tây Ninh). Núi Chứa Chan với thế núi cao, vách đá cheo leo và rừng rậm, là điểm tham quan hút khách. Năm 2012, núi được Bộ Văn hóa, Thể thao và Du lịch xếp hạng di tích danh lam thắng cảnh cấp quốc gia.",Đồng Nai,"Thiên nhiên, Núi, Đi bộ đường dài, Cắm trại",https://maps.app.goo.gl/UFqeHZ3iA4H2VcS76,1MFXy0rTsaWD4Yzv2dg3kNVKce70KkCMK
Nước mắm Nam Ô - Hương Làng Cổ,"Làng nghề truyền thống làm nước mắm lâu đời, nổi tiếng với hương vị đặc trưng của Đà Nẵng.",Đà Nẵng,"Làng nghề truyền thống, Ẩm thực, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/rkETpEkBTzQtzsCD7,1AweU8Xy7oKdjZbMspB1KiKoBQMRc1tVj
Công viên APEC,"Không gian xanh hiện đại ven sông Hàn, với nhiều tác phẩm điêu khắc độc đáo.",Đà Nẵng,"Công viên, Công trình kiến trúc, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/Q7NahEAXCjQGtxpA8,1Pw8SjWjr1QdrnQcZezryic5wotTODIkC
Chợ Hàn,"Khu chợ truyền thống sầm uất, nổi tiếng với đặc sản và quà lưu niệm Đà Nẵng.",Đà Nẵng,"Chợ truyền thống, Mua sắm, Ẩm thực, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/eNjzLALM5s8MEnmS9,1Voe-kdcCXPR8gH01oWRiqhStTFQKd6C2
Bảo tàng Mỹ thuật,Nơi trưng bày các tác phẩm nghệ thuật đặc sắc từ nhiều thời kỳ.,Đà Nẵng,"Bảo tàng, Phòng triển lãm, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/XgZ5xseunZPa5GgN6,1f34fALzqY_fYX5AIwZYTHCjOANFszRFo
Cầu Thuận Phước,"Cây cầu dây văng dài nhất Việt Nam, nối liền sông Hàn với vịnh Đà Nẵng.",Đà Nẵng,"Cầu, Công trình kiến trúc, Điểm chụp ảnh đẹp, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/6nBhnqwvERJA86Db7,1cO_JhwR6DJa-3ozY6xFU5MTPOp8vbE67
Bãi biển Non Nước,"Bãi biển dài với cát trắng mịn, sóng lớn thích hợp cho lướt sóng",Đà Nẵng,"Lướt ván, Biển",https://maps.app.goo.gl/w9yfPqE9DbADb8Zz7,1ishxG1RVtVGPGzAWt4HbPP9hj9ORGatF
Bãi biển Nam Ô,Bãi biển hoang sơ với những rạn san hô đẹp và làng chài truyền thống,Đà Nẵng,"Làng nghề truyền thống, Điểm chụp ảnh đẹp, Chợ truyền thống, Biển",https://maps.app.goo.gl/gmoQHAkF7sGNh7Zw8,1Ib1uNcmK4sNnEowzFt0vJrP9F4GglgFa
Chợ Cồn,"Chợ truyền thống lớn nhất Đà Nẵng, nơi bán nhiều đặc sản địa phương",Đà Nẵng,"Chợ truyền thống, Địa điểm nổi tiếng, Chợ đêm",https://maps.app.goo.gl/ppFCCJpbrYkiFbVa8,1RUgIroLctoF4X-DJqoryLHPzE-F0-Y-d
Cầu tình yêu,"Cây cầu lãng mạn với hàng ngàn ổ khóa tình yêu, địa điểm chụp ảnh nổi tiếng",Đà Nẵng,"Địa điểm tham quan miễn phí, Điểm ngắm cảnh tự nhiên",https://maps.app.goo.gl/ADA6t67evWrzHm9v5,15O5LKncLJYCoUZhgNt9cr-Dw3kzUBJKy
Công viên 29/3,"Công viên lớn với nhiều không gian xanh, hồ nước và khu vui chơi",Đà Nẵng,"Công trình kiến trúc, Khu phố cổ",https://maps.app.goo.gl/oTy6V4PqmWMSiMAC9,1bAXmsKbP2mVsnBMzviLlGCHLGnYO0BJy
Bảo tàng Đà Nẵng,"Bảo tàng trưng bày các hiện vật về lịch sử, văn hóa của thành phố Đà Nẵng",Đà Nẵng,"Phố ẩm thực, Khu bảo tồn",https://maps.app.goo.gl/DYbEt4kMmTwa7tnM6,1ixsaq165xaEbzH_gpHQjP5jJz4KRWPco
Làng cổ Phong Nam,"Làng cổ với kiến trúc truyền thống, nơi bảo tồn văn hóa dân gian",Đà Nẵng,"Làng nghề truyền thống, Khu bảo tồn, Công trình kiến trúc, Chợ truyền thống",https://maps.app.goo.gl/Pi21LrBDj1y6R6C27,1-08XOY5Gj56boiC71s_GkZ5Fp_y_BFi9
Làng Bích Họa Tam Thanh,"Làng nghệ thuật với những bức tranh tường sống động, điểm check-in hấp dẫn",Quảng Nam,"Đi xe đạp tham quan, Làng nghề truyền thống, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/rbaARQvrctZyVS1k9,1C6zrDw1y_N1TYb9LEaaBNesryWcPXL-H
Công viên Biển Đông,Công viên ven biển với nhiều hoạt động giải trí và không gian xanh,Đà Nẵng,"Công viên, Biển, Vườn quốc gia, Công trình kiến trúc",https://maps.app.goo.gl/M75taiKwsN5xNUyHA,13JlTjdcipbZ67Ae89vnLGfYMd8vwO3lS
Núi Sơn Trà (Monkey Mountain),"Núi với hệ sinh thái đa dạng, nơi sinh sống của nhiều loài linh trưởng quý hiếm",Đà Nẵng,"Cắm trại, Lướt ván",https://maps.app.goo.gl/Z3kJ3dPVn338B69X7,17M_Mwss-SkdRpMRrZVXXYXRJkO3ZExrU
Đèo Hải Vân,"""Thiên hạ đệ nhất hùng quan"" với cảnh quan ngoạn mục giữa núi và biển",Đà Nẵng,"Biển, Danh lam thắng cảnh",https://maps.app.goo.gl/JonxYQK2XK6wQw177,1V_HQ0UcCHYVEmmw-i280ih39UL3Ic8vh
Helio Night Market,Khu chợ đêm hiện đại với nhiều món ăn đường phố và đồ lưu niệm,Đà Nẵng,"Khu phố cổ, Phố đi bộ",https://maps.app.goo.gl/wYxWgxPhttFSu71D9,1Q_iOLSRtcnfOPwmf-aCyEOxMdQq26-dM
Nhà thờ Con Gà,"Nhà thờ Công giáo với kiến trúc Gothic, biểu tượng của thời Pháp",Đà Nẵng,"Nhà thờ, Công viên, Công trình kiến trúc, Tượng đài",https://maps.app.goo.gl/gmBhq3BzuvUzdW287,1GlTY1q2zc_CQjmu5lFW86qkqie5wva7d
Suối khoáng nóng Thần Tài,"Khu du lịch suối khoáng với nhiều dịch vụ tắm bùn, spa",Đà Nẵng,"Khu vui chơi, Di tích lịch sử, Khu bảo tồn, Khu phố cổ",https://maps.app.goo.gl/dbSVApZMPcwJTt597,10YT_OKHqmZMKjO4sW9c2TCbeo6qfOi8E
Sân vận động Hòa Xuân,"Sân vận động hiện đại, nơi diễn ra các trận đấu của CLB SHB Đà Nẵng",Đà Nẵng,"Thiên nhiên, Lễ hội địa phương, Di tích lịch sử",https://maps.app.goo.gl/JMXcurrwAijUx8jt6,1Kwzm3TA_DVKZlmo5K5bW_y_N-ohdD1rA
Bãi biển Xuân Thiều,"Bãi biển yên tĩnh với cảnh quan đẹp, ít du khách",Đà Nẵng,"Điểm chụp ảnh đẹp, Danh lam thắng cảnh, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/erQLDmqjpYXkPDjH7,18UmQt2cVCyLUf9hvWIssdjqowr4JdA0K
Cảng cá Thọ Quang,"Cảng cá lớn nhất miền Trung, nơi tham quan đời sống ngư dân",Đà Nẵng,"Đi xe đạp tham quan, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/qyNFA4yvQdafvxb77,1WvBiEU1YTqbXMnrUzc_wINVctH6uKL8o
Khu du lịch Suối Hoa,Khu du lịch sinh thái với suối nước trong lành và không gian xanh,Đà Nẵng,"Khu bảo tồn, Khu phố cổ, Di tích lịch sử",https://maps.app.goo.gl/B8CviZhUPPmkxMjb7,1KOCwSfu9Wj031AW9lJWXHDaiUY9PQx5s
Đỉnh Bàn Cờ,"Đỉnh núi cao nhất trên bán đảo Sơn Trà, nổi bật với tượng Tiên Ông đánh cờ và view toàn cảnh thành phố Đà Nẵng cùng biển xanh bao la.",Đà Nẵng,"Núi, Điểm ngắm cảnh tự nhiên, Đi bộ đường dài, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/x9pCjMyjisnx18XG7,1zDXB-qtRuX2ad-yRzoq_whTqrvk6aJIq
Cù Lao Chàm,"Quần đảo với hệ sinh thái biển đa dạng, được UNESCO công nhận là Khu dự trữ sinh quyển thế giới",Quảng Nam,"Khu bảo tồn, Khu phố cổ, Công viên, Biển",https://maps.app.goo.gl/Uox8CspJi5QV6rXJ9,1xwWds_v1HUFZnIdhsGnrFxcg9trkt9Ef
Thác Grăng (Tây Giang),"Thác nước hoang sơ giữa núi rừng Tây Giang, lý tưởng để khám phá thiên nhiên.",Quảng Nam,"Thác, Thiên nhiên, Đi bộ đường dài, Cắm trại, Picnic, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/yskybtrSNNcXg66W9,12_oIS2DLoal7z2YkM-9j4pQfLJYkYvQf
Phố cổ Hội An,Đô thị cổ được UNESCO công nhận là Di sản Văn hóa Thế giới với kiến trúc độc đáo,Quảng Nam,"Công trình kiến trúc, Di tích lịch sử, Khu phố cổ",https://maps.app.goo.gl/KH8yrRV5Zhb4aRL8A,1oSxFA_IUu8xhqdD8_bdmEjdSDo2pZc7V
Thánh địa Mỹ Sơn,Di tích đền tháp Chăm Pa được UNESCO công nhận là Di sản Văn hóa Thế giới,Quảng Nam,"Di tích lịch sử, Công viên, Đền, Công trình kiến trúc",https://maps.app.goo.gl/TpMDWB2MyLPvnuJy7,1GmC1uPqbsBjZhSrCfHWgaNORvX-nj2i3
Rừng dừa Bảy Mẫu,"Khu rừng dừa nước độc đáo, trải nghiệm đi thuyền thúng",Quảng Nam,"Đi bộ đường dài, Chèo thuyền, Khu phố cổ, Đi xe đạp tham quan",https://maps.app.goo.gl/uWy1XZxWpjFY6p1b9,130UfvNnPLwSCxXnsBpTdkcx5jIyACp85
Làng gốm Thanh Hà,Làng nghề truyền thống làm gốm với lịch sử hơn 500 năm,Quảng Nam,"Chợ truyền thống, Làng nghề truyền thống, Di tích lịch sử",https://maps.app.goo.gl/eLJGRPWRaBPGjLpMA,1Xmwb0qmP1OdpaLD-vwEZAdCyQBOCmZU2
Hồ Phú Ninh,"Hồ nước ngọt lớn với diện tích hơn 23.000 ha, được bao quanh bởi rừng cây xanh mát. Đây là khu du lịch sinh thái hấp dẫn với các hoạt động như đi thuyền, cắm trại, picnic, và câu cá. Không khí trong lành, cảnh quan thơ mộng.",Quảng Nam,"Hồ, Thiên nhiên, Cắm trại, Picnic, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/wd6sHy5rta91VMBM8,18DAMHnNra_p8kj9HEYikA_lucf5U5h-b
Làng mộc Kim Bồng,Làng nghề chạm khắc gỗ truyền thống nổi tiếng từ thế kỷ 15,Quảng Nam,"Địa điểm nổi tiếng, Làng nghề truyền thống, Chợ truyền thống",https://maps.app.goo.gl/zwegAHfMdszJpVrg9,1Wltcy9EfylIEkg0aMw44GL4QGUHc1kzc
Bãi biển An Bàng,"Bãi biển đẹp gần Hội An, được bình chọn là một trong những bãi biển đẹp nhất châu Á",Quảng Nam,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/uFqTHwwc7Ao4TwzQ7,1cpX29NbUqM3o_cUN87_kL-oXQq5Rh9IZ
Vinpearl Land Nam Hội An,"Khu phức hợp giải trí với công viên nước, vườn thú, và nhiều trò chơi",Quảng Nam,"Công trình kiến trúc, Khu bảo tồn, Khu phố cổ, Công viên",https://maps.app.goo.gl/r5bDZMMd4mp1oJ8i8,1agW-UsbVfur4d77TgTyQ6aR2zIEdS-Lq
Chùa Cầu (Cầu Nhật Bản),"Biểu tượng của Hội An, cây cầu gỗ cổ kính xây dựng từ thế kỷ 17",Quảng Nam,"Khu phố cổ, Cầu, Lễ hội địa phương",https://maps.app.goo.gl/hdSmdKxnBZCsGFx47,1W6ES7rE91cAF-UIr06BGh5rPUOMUIBsJ
Khu du lịch sinh thái Cồn Bắp,"Khu du lịch sinh thái nằm giữa sông Thu Bồn, trải nghiệm làng quê",Quảng Nam,"Khu phố cổ, Sông, Di tích lịch sử, Làng nghề truyền thống",https://maps.app.goo.gl/CkYdgNx5xrRrwsno9,1frgrQqAFHFOi1RSJ_iSuc1qqB7XaQtI_
Bãi biển Cửa Đại,"Bãi biển dài với cát trắng mịn, nước biển trong xanh",Quảng Nam,"Biển, Đi bộ đường dài",https://maps.app.goo.gl/ZzPwtDK2HU7Ta4RD7,1NepNF64legc6uZNiA_WqvhbrnA34WkxV
Nhà cổ Phùng Hưng,Ngôi nhà cổ hơn 200 năm tuổi với kiến trúc độc đáo ở Hội An,Quảng Nam,"Khu phố cổ, Công trình kiến trúc",https://maps.app.goo.gl/XDDEBwUk3Vct15Nt5,174gz4izzJZzwjhwhP3xBfXazY3gu5BEx
Khu du lịch Hòn Đỏ,Khu du lịch biển với những rạn san hô đẹp và hoạt động lặn biển,Ninh Thuận,"Điểm chụp ảnh đẹp, Khu bảo tồn",https://maps.app.goo.gl/9qxqezL4Crv7jV4S8,19WQXoxnjPqHH17Tp29EoeOqr9RtY03A3
Núi Chúa,Dãy núi với cảnh quan thiên nhiên hùng vĩ và đa dạng sinh học,Ninh Thuận,"Thiên nhiên, Núi",https://maps.app.goo.gl/aAXKyMqitvRBJJVj8,18r7gXN608sfMpV-1DdhzhS67-bkTjPeF
Tháp Khương Mỹ,Di tích kiến trúc Chăm Pa với ba tháp cổ từ thế kỷ 10,Quảng Nam,"Công trình kiến trúc, Khu phố cổ, Di tích lịch sử",https://maps.app.goo.gl/FcXfhbXWKfJPgZqJ9,1Ha4YLaXpOYTmJpQtjnoN74MHq5sVWvV9
Chợ Hội An,Chợ truyền thống với nhiều đặc sản và hàng lưu niệm,Quảng Nam,"Chợ truyền thống, Làng nghề truyền thống, Chợ đêm, Đài tưởng niệm",https://maps.app.goo.gl/1GZaa3b6ds9BiwVe6,1IxYtVy_Wrxe_bRpCO_XwHUSfhYUANuoL
Bảo tàng Văn hóa Sa Huỳnh,Bảo tàng trưng bày các hiện vật của nền văn hóa Sa Huỳnh cổ đại,Quảng Nam,"Khu phố cổ, Khu bảo tồn, Bảo tàng",https://maps.app.goo.gl/FkV3uGCrwvbYwhz7A,19bL--WnC9mc0WX70s58r2RoaUwGnvRdU
Bãi biển Hà Bình,"Bãi biển hoang sơ, yên tĩnh gần Hội An",Quảng Nam,"Biển, Lễ hội địa phương",https://maps.app.goo.gl/jGrqcGoygcacoo6Y6,10Smr4wK6Gf1huWCPK1dzZbf74Pabkpgl
Làng rau Trà Quế,"Làng nghề trồng rau hữu cơ nổi tiếng gần Hội An, với phương pháp canh tác truyền thống và không gian xanh mát, nơi du khách có thể trải nghiệm làm nông dân và thưởng thức ẩm thực địa phương.",Quảng Nam,"Làng nghề truyền thống, Địa điểm tham quan miễn phí, Ẩm thực, Đi xe đạp tham quan",https://maps.app.goo.gl/GSPiwZVSEoprC4Hn7,1_8OGwapsvYnL_YAB_wISGUFQX2H3Fyga
Bãi biển Bình Minh,Bãi biển đẹp với cảnh bình minh ngoạn mục,Quảng Nam,"Điểm chụp ảnh đẹp, Biển",https://maps.app.goo.gl/EvP7vaTZ671BnkQd8,1W4elGIrRJTFiuW09OIV77vT3a66xtaX6
Thác Khe Lạnh,Thác nước tự nhiên đẹp trong rừng nguyên sinh,Quảng Nam,"Thiên nhiên, Điểm ngắm cảnh tự nhiên, Thác",https://maps.app.goo.gl/wrobqzEHo2hCnkap6,10nqtij6yTlGCv-laoz7N3KvePLegor3T
Tượng đài Mẹ Thứ,Tượng đài kỷ niệm người mẹ anh hùng trong thời kháng chiến,Quảng Nam,"Nhà thờ, Tượng đài, Đài tưởng niệm",https://maps.app.goo.gl/teZ6e4VBrXj7Gx4H7,1JVVMbLWnUN9XTISMRKqUv-sxkyvj1GD9
Biển Khe Hai,"Bãi biển yên bình với làn nước trong xanh và cát mịn, chưa nhiều du khách.",Quảng Ngãi,"Biển, Thiên nhiên, Điểm ngắm cảnh tự nhiên, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/FVL8To3V5GnThNEr9,1-_WyOcHoJIu8L0rOb7GPpnwFBuvN9j78
Suối nước nóng Trà Bồng,"Suối khoáng nóng tự nhiên giữa rừng xanh, thích hợp thư giãn và khám phá thiên nhiên hoang sơ.",Quảng Ngãi,"Thiên nhiên, Địa điểm tham quan miễn phí, Picnic, Đi bộ đường dài",https://maps.app.goo.gl/zEWDfRN8E2oyWx6L8,1rmviyMRWSX_GEGDVMYKe-cPwcRymQx6X
Đảo Lý Sơn,"Đảo núi lửa với cảnh quan đẹp, nổi tiếng với tỏi và hải sản",Quảng Ngãi,"Danh lam thắng cảnh, Điểm ngắm cảnh tự nhiên, Điểm chụp ảnh đẹp, Núi",https://maps.app.goo.gl/eSHcNghj7YToQo1b8,1x4eXNsvpbG3k2Hy1TxSAHiLDzEqXRWVz
Đảo Bé (An Bình),"Hòn đảo nhỏ thuộc Lý Sơn, nổi tiếng với bãi biển xanh biếc và san hô rực rỡ.",Quảng Ngãi,"Đảo, Biển, Lặn ngắm san hô, Chèo thuyền, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/DxA53YhKWEbx1StM6,1iy5qCegUKRK7sp1Tzqzkv8df2pk0GDjQ
Khu chứng tích Sơn Mỹ,Di tích lịch sử về vụ thảm sát Mỹ Lai trong chiến tranh Việt Nam,Quảng Ngãi,"Di tích lịch sử, Khu phố cổ",https://maps.app.goo.gl/GnomTUZoFiCpDS7d6,1nZ8swF8m5XU6Ad5cK7tDmkoJhRCXddC7
Thành cổ Châu Sa,Di tích thành cổ thời Champa với kiến trúc độc đáo,Quảng Ngãi,"Khu phố cổ, Di tích lịch sử",https://maps.app.goo.gl/4jzP3iTih1tSgdPy5,12zA7c9g2XCo6jFSp6X0AhoB6DG5RQlHq
